Year,KindCode,GameSno,VisitingHomeType,Seq,HitterAcnt,HitterName,HitterUniformNo,RoleType,PlateAppearances,HitCnt,HittingCnt,OneBaseHitCnt,TwoBaseHitCnt,ThreeBaseHitCnt,HomeRunCnt,GrandSlamHomerunCnt,TotalBases,RunBattedINCnt,GameWinningRbiCnt,ScoreCnt,BasesONBallsCnt,IntentionalBasesONBallsCnt,HitBYPitchCnt,StrikeOutCnt,StealBaseOKCnt,StealBaseFailCnt,SacrificeHitCnt,SacrificeFlyCnt,DoublePlayBatCnt,ErrorCnt,IsMvp,TotalHittingCnt,TotalHitCnt
2025,A,1,1,0000000001,0000001339,林祖傑,39,先發,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
2025,A,1,1,0000000001,0000001474,蘇智傑,32,先發,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
2025,A,1,1,0000000001,0000001606,林岱安,31,先發,4,4,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2025,A,1,1,0000000001,0000001804,陳傑憲,24,先發,5,5,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5
2025,A,1,1,0000000001,0000002275,林安可,77,先發,5,5,3,2,0,0,1,0,6,2,1,2,0,0,0,1,0,0,0,0,0,0,0,3,5
2025,A,1,1,0000000001,0000002289,陳重廷,66,非先發,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,A,1,1,0000000001,0000002707,潘傑楷,35,先發,5,4,2,2,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4
2025,A,1,1,0000000001,0000003615,胡金龍,51,非先發,1,1,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,A,1,1,0000000001,0000005522,朱迦恩,8,非先發,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025,A,1,1,0000000001,0000005531,邱智呈,14,先發,5,4,1,0,1,0,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,4
2025,A,1,1,0000000001,0000006851,林培緯,25,先發,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4
2025,A,1,1,0000000001,0000007071,林泓弦,67,非先發,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,A,1,1,0000000001,0000007268,陳聖平,15,先發,4,4,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
2025,A,1,2,0000000001,0000000929,王威晨,9,先發,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4
2025,A,1,2,0000000001,0000001119,許基宏,74,先發,4,4,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2025,A,1,2,0000000001,0000002285,高宇杰,65,先發,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
2025,A,1,2,0000000001,0000002297,詹子賢,39,先發,3,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
