GameSno,Year,KindCode,GameDate,FieldAbbe,VisitingTeamName,HomeTeamName,VisitingTotalScore,HomeTotalScore,GameStatus,GameDuringTime,AudienceCntBackend,WinningPitcherName,LosePitcherName,CloserPitcherName,HeadUmpire,Weather,DayNight
1,2025,A,2025-03-29,大巨蛋,統一7-ELEVEn獅,中信兄弟,8,0,3,025000,,,,,,03,N
2,2025,A,2025-06-28,樂天桃園,味全龍,樂天桃猿,7,5,3,035000,,,,,,02,N
5,2025,A,2025-04-02,天母,台鋼雄鷹,味全龍,0,1,3,022500,,,,,,01,N
6,2025,A,2025-04-02,天母,台鋼雄鷹,味全龍,0,1,3,022500,,,,,,01,N
7,2025,A,2025-04-02,天母,台鋼雄鷹,味全龍,0,1,3,022500,,,,,,01,N
8,2025,A,2025-04-03,台南,樂天桃猿,統一7-ELEVEn獅,2,5,3,024200,,,,,,01,D
9,2025,A,2025-04-03,台南,樂天桃猿,統一7-ELEVEn獅,2,5,3,024200,,,,,,01,D
10,2025,A,2025-04-03,台南,樂天桃猿,統一7-ELEVEn獅,2,5,3,024200,,,,,,01,D
11,2025,A,2025-04-04,澄清湖,樂天桃猿,台鋼雄鷹,3,4,3,024900,,,,,,01,D
12,2025,A,2025-04-04,澄清湖,樂天桃猿,台鋼雄鷹,3,4,3,024900,,,,,,01,D
13,2025,A,2025-04-04,澄清湖,樂天桃猿,台鋼雄鷹,3,4,3,024900,,,,,,01,D
14,2025,A,2025-04-05,澄清湖,樂天桃猿,台鋼雄鷹,2,4,3,022700,,,,,,01,D
15,2025,A,2025-04-05,澄清湖,樂天桃猿,台鋼雄鷹,2,4,3,022700,,,,,,01,D
16,2025,A,2025-04-05,澄清湖,樂天桃猿,台鋼雄鷹,2,4,3,022700,,,,,,01,D
17,2025,A,2025-04-06,天母,富邦悍將,味全龍,0,7,3,024700,,,,,,02,D
18,2025,A,2025-04-06,天母,富邦悍將,味全龍,0,7,3,024700,,,,,,02,D
19,2025,A,2025-04-06,天母,富邦悍將,味全龍,0,7,3,024700,,,,,,02,D
20,2025,A,2025-04-08,樂天桃園,富邦悍將,樂天桃猿,3,6,3,024800,,,,,,01,N
21,2025,A,2025-04-08,樂天桃園,富邦悍將,樂天桃猿,3,6,3,024800,,,,,,01,N
22,2025,A,2025-04-09,樂天桃園,富邦悍將,樂天桃猿,2,8,3,030800,,,,,,01,N
23,2025,A,2025-04-09,樂天桃園,富邦悍將,樂天桃猿,2,8,3,030800,,,,,,01,N
24,2025,A,2025-04-09,樂天桃園,富邦悍將,樂天桃猿,2,8,3,030800,,,,,,01,N
25,2025,A,2025-04-10,洲際,味全龍,中信兄弟,1,4,3,023500,,,,,,01,N
26,2025,A,2025-04-11,樂天桃園,中信兄弟,樂天桃猿,15,4,3,031800,,,,,,01,N
27,2025,A,2025-04-11,樂天桃園,中信兄弟,樂天桃猿,15,4,3,031800,,,,,,01,N
28,2025,A,2025-04-11,樂天桃園,中信兄弟,樂天桃猿,15,4,3,031800,,,,,,01,N
29,2025,A,2025-04-12,大巨蛋,味全龍,統一7-ELEVEn獅,1,5,3,025000,,,,,,01,D
