Year,KindCode,GameSno,VisitingHomeType,Seq,PitcherAcnt,PitcherName,PitcherUniformNo,RoleType,GameResult,IsSaveOK,ReliefPointCnt,InningPitchedCnt,InningPitchedDiv3Cnt,PlateAppearances,PitchCnt,StrikeCnt,HittingCnt,HomeRunCnt,RunCnt,EarnedRunCnt,BasesONBallsCnt,IntentionalBasesONBallsCnt,HitBYPitchCnt,StrikeOutCnt,WildPitchCnt,BalkCnt,SacrificeHitCnt,SacrificeFlyCnt,IsCompleteGame,IsShoutOut,IsMvp,TotalWins,TotalLoses,TotalSaveOk,TotalRelief,GameHigherSpeedPitch
2025,A,1,1,0000000001,0000005731,布雷克,50,先發,勝,0,0,5,2,19,81,53,3,0,0,0,1,0,0,5,0,0,0,0,0,0,1,1,0,0,0,143
2025,A,1,2,0000000001,0000006006,德保拉,46,先發,敗,0,0,5,1,23,94,63,10,0,5,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,147
2025,A,1,2,0000000001,0000004626,王奕凱,54,中繼,,0,0,0,1,4,14,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
2025,A,1,2,0000000001,0000001232,江忠城,20,中繼,,0,0,0,1,1,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,145
2025,A,1,1,0000000001,0000002695,林子崴,17,中繼,,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
2025,A,1,2,0000000001,0000003331,李振昌,34,中繼,,0,0,1,0,5,22,12,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
2025,A,1,1,0000000001,0000002276,鄭鈞仁,60,中繼,,0,0,1,0,4,14,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
2025,A,1,2,0000000001,0000007276,伍立辰,83,中繼,,0,0,1,0,5,24,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
2025,A,1,1,0000000001,0000000998,邱浩鈞,37,中繼,,0,0,1,0,3,9,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,142
2025,A,1,2,0000000001,0000007283,陳冠穎,81,最後一任,,0,0,1,0,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
2025,A,1,1,0000000001,0000004637,劉軒荅,23,最後一任,,0,0,1,0,4,15,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,150
2025,A,2,1,0000000002,0000007554,龍聖,33,先發,,0,0,5,0,21,94,52,5,1,3,3,3,0,0,4,0,0,0,1,0,0,0,2,3,0,0,144
2025,A,2,2,0000000002,0000004624,陳克羿,19,先發,,0,0,7,0,25,89,61,2,0,1,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,146
2025,A,2,1,0000000002,0000005552,呂偉晟,39,中繼,,0,0,1,0,3,14,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,141
2025,A,2,1,0000000002,0000002279,吳俊杰,20,中繼,,0,0,1,0,5,24,14,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,142
2025,A,2,2,0000000002,0000005372,呂詠臻,48,中繼,,0,0,0,2,5,20,9,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2,2,0,10,147
2025,A,2,2,0000000002,0000000941,陳冠宇,17,中繼,,0,0,0,1,3,8,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,11,146
2025,A,2,1,0000000002,0000001821,林子昱,71,中繼,,0,1,1,0,3,13,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,8,148
